Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0805_2012Metric,40.5384,-51.8668,270.0,top
C2,4.7 uF,C_0805_2012Metric,40.5384,-55.2704,270.0,top
C3,4.7 uF,C_0805_2012Metric,44.2468,-49.53,0.0,top
C4,4.7 uF,C_0805_2012Metric,47.7164,-49.53,180.0,top
C5,10 uF,CAP_4 X 5.8_PAN,52.354201,-47.5996,0.0,top
C6,0.1 uF,C_0805_2012Metric,51.0032,-44.0944,0.0,top
C7,10 uF,CAP_4 X 5.8_PAN,47.3456,-74.422,270.0,top
C8,0.1 uF,C_0805_2012Metric,38.1,-69.85,180.0,top
C9,10 uF,CAP_4 X 5.8_PAN,38.1,-74.422,270.0,top
D1,D,DO-214BA_MCH,53.6448,-73.1012,0.0,top
D2,SMBJ5.0CA,D_SMA,53.2252,-63.0428,-90.0,top
D3,SMBJ5.0CA,D_SMA,47.688,-63.0428,-90.0,top
D4,SMBJ5.0CA,D_SMA,41.9994,-63.0428,-90.0,top
J1,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,35.585,-43.79,0.0,top
J2,Conn_01x05,"TerminalBlock_Phoenix_PT-1,5-5-3.5-H_1x05_P3.50mm_Horizontal",63.946,-66.0862,90.0,top
J3,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,66.4464,-44.5008,0.0,top
R1,47Ω,R_0603_1608Metric,53.2252,-67.9704,180.0,top
R2,47Ω,R_0603_1608Metric,47.688,-67.9704,180.0,top
R3,47Ω,R_0603_1608Metric,41.9994,-67.9704,180.0,top
SW1,SW_DIP_x02,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,53.1114,-36.7792,90.0,top
U1,MAX3232E,21-0056-E_90-0106-16L_MXM,46.319202,-53.9496,270.0,top
U2,TLV70433DBVR,DBV0005A_N,42.7228,-72.9996,90.0,top
